m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,06758	-1,48440	-6,19732	-2,95794	-0,28217	0,07557	-3,11991	-0,36665	0,05671	-3,10453
0,00938	-1,22393	-5,70620	-2,89309	-0,26485	0,04672	-2,69805	-0,37206	0,02556	-2,81640
0,08125	-0,89078	-4,98409	-2,59132	-0,12705	0,08579	-1,85635	-0,17727	0,11732	-1,73050
0,11805	-0,17818	-3,44164	-2,10916	-0,07294	0,03013	-1,19328	-0,08367	0,00608	-1,38757
0,08563	0,60120	-1,81049	-1,48246	-0,03262	-0,00102	-0,08116	-0,02901	0,03566	-0,04280
0,10563	1,54260	0,16930	-0,79349	0,05499	-0,06179	0,81617	0,08290	-0,04259	0,69037
0,09440	2,54932	2,27323	-0,10664	0,10430	-0,04034	1,74522	0,17559	-0,01923	1,61550
0,17115	3,38286	4,00742	0,50668	0,23274	-0,04021	2,59224	0,34886	0,01205	2,60161
0,12531	4,15961	5,59315	0,96306	0,17813	-0,13774	2,88983	0,26583	-0,11963	2,62508
0,13443	4,47115	6,30326	1,22677	0,22743	-0,02489	3,15999	0,36394	0,03176	3,21128
0,22263	4,58333	6,41396	1,25331	0,27420	-0,12383	2,79855	0,39527	-0,10661	2,63320
0,11229	4,28305	5,76346	1,05417	0,11517	-0,08145	2,27138	0,19764	-0,03237	2,22787
0,11901	3,62982	4,41576	0,65014	0,12111	-0,04928	1,43840	0,17456	-0,01180	1,45977
0,20523	2,88513	2,79555	0,08731	0,09899	-0,06740	0,41617	0,15844	-0,06523	0,34215
0,08076	1,92188	0,86055	-0,55688	-0,13097	0,00843	-0,45359	-0,14710	0,05793	-0,34099
0,08326	1,07255	-0,97372	-1,22374	-0,09292	0,01762	-1,43031	-0,15767	0,01606	-1,49341
0,15609	0,25344	-2,69500	-1,83523	-0,11213	0,05885	-2,01172	-0,13794	0,07460	-1,89835
0,04154	-0,36161	-3,92727	-2,34007	-0,27054	0,07519	-2,50185	-0,34538	0,08142	-2,49667
0,06339	-0,71273	-4,69297	-2,68385	-0,19962	0,05374	-2,69046	-0,31186	0,04466	-2,71958
0,13542	-0,93661	-5,07370	-2,83343	-0,17029	0,11004	-2,52637	-0,20937	0,11415	-2,41868
0,03560	-0,80214	-4,82359	-2,78902	-0,25448	0,01877	-2,33143	-0,33726	0,00584	-2,47115
0,06310	-0,58771	-4,33044	-2,54161	-0,11706	0,07889	-1,71779	-0,17366	0,09943	-1,64270
0,12586	-0,08003	-3,26625	-2,12929	-0,05803	0,01800	-1,13689	-0,07426	0,01217	-1,21972
0,09286	0,59188	-1,89667	-1,58736	-0,06384	0,00217	-0,32490	-0,04370	0,03115	-0,39746
0,11648	1,30013	-0,34956	-0,96994	0,05626	-0,03511	0,53994	0,06162	0,00292	0,53786
0,09859	2,18279	1,48458	-0,34241	0,05967	-0,04417	1,22223	0,10507	-0,02982	1,01770
0,15552	2,88135	2,92781	0,24824	0,17357	-0,01774	2,05584	0,27950	0,05160	2,09818
0,17388	3,54883	4,36388	0,72380	0,20581	-0,08987	2,36493	0,29007	-0,07643	2,18082
0,07924	3,99810	5,22612	1,04677	0,13653	-0,08362	2,62296	0,22239	-0,04089	2,53947
0,23302	4,08013	5,39690	1,18358	0,28053	-0,07136	2,56329	0,41757	-0,02191	2,56139
0,16867	3,97846	5,16414	1,11969	0,12086	-0,15204	1,98959	0,19325	-0,13728	1,78993
0,10477	3,44310	4,08078	0,88546	0,08382	-0,02030	1,50047	0,13588	0,03882	1,61615
0,22807	2,89266	2,77852	0,49882	0,14538	-0,08745	0,59999	0,20228	-0,07497	0,47907
0,09534	2,12828	1,25552	0,02607	-0,08420	0,00957	-0,10720	-0,05827	0,05391	-0,02939
0,04419	1,41477	-0,27701	-0,48239	-0,08420	0,02949	-0,87723	-0,15509	0,05489	-0,87821
0,17435	0,80753	-1,61380	-0,96728	-0,02099	0,03740	-1,45395	-0,02656	0,04381	-1,45551
0,05167	0,21346	-2,72570	-1,37932	-0,21871	0,05260	-1,81046	-0,25204	0,07509	-1,71645
0,03924	-0,08862	-3,39948	-1,68517	-0,17547	0,02055	-2,15204	-0,28324	0,00548	-2,27093
0,15161	-0,39831	-4,03229	-1,83887	-0,09203	0,06779	-2,05900	-0,12492	0,09079	-1,93278
0,07091	-0,45143	-4,07727	-1,83921	-0,21213	0,03383	-2,08251	-0,25591	0,01655	-2,17876
0,04531	-0,33456	-3,87680	-1,66880	-0,15069	0,05374	-1,71324	-0,23605	0,06827	-1,71039
0,13714	-0,07349	-3,30766	-1,34416	-0,04779	0,06332	-1,18645	-0,06278	0,08884	-1,15139
0,07698	0,49836	-2,11471	-0,90064	-0,08685	0,01902	-0,61794	-0,07232	0,01874	-0,75174
0,08922	1,13997	-0,76875	-0,36698	0,04602	0,00013	0,30631	0,05183	0,04673	0,37310
0,12388	1,99440	1,04333	0,18895	0,07939	-0,07736	0,96812	0,11551	-0,06718	0,77417
0,09841	2,74841	2,63167	0,71904	0,10859	-0,04085	1,78163	0,21336	0,00146	1,76466
0,22919	3,39891	4,03641	1,14940	0,26055	-0,08400	2,24964	0,34937	-0,06012	2,16780
0,13451	3,91904	5,08771	1,43040	0,09507	-0,12191	2,44951	0,17017	-0,08555	2,27119
0,18104	3,99940	5,30188	1,53926	0,21921	-0,03740	2,51019	0,34680	0,01862	2,56539
0,25682	3,97898	5,18581	1,45034	0,22376	-0,10953	1,99073	0,30735	-0,11062	1,79792
0,07549	3,55143	4,27984	1,18958	0,00544	-0,02119	1,54295	0,05183	0,03663	1,59668
0,18357	2,97917	2,99768	0,77413	0,13754	-0,04532	0,75422	0,19119	-0,01509	0,71267
0,21667	2,31005	1,61990	0,25538	0,04260	-0,03447	-0,03843	0,08573	-0,02580	-0,04602
0,00471	1,55714	0,06128	-0,30684	-0,17522	0,01187	-0,72261	-0,22535	0,05282	-0,65840
0,14862	0,92810	-1,30318	-0,86004	-0,02579	0,00600	-1,43031	-0,06317	0,00183	-1,50540
0,15557	0,27654	-2,58839	-1,34450	-0,13299	0,07072	-1,80515	-0,14259	0,08628	-1,66965
0,00008	-0,09680	-3,43622	-1,72957	-0,26548	0,03651	-2,18580	-0,36343	0,03748	-2,27467
0,09128	-0,39352	-4,02102	-1,96683	-0,12680	0,07672	-2,19199	-0,19867	0,08774	-2,14614
0,13771	-0,49898	-4,18159	-2,04305	-0,14665	0,09447	-2,09756	-0,16992	0,08738	-2,07381
0,01357	-0,32417	-3,89096	-1,95469	-0,22477	0,02285	-1,82929	-0,30103	0,02519	-1,93471
0,10378	-0,12031	-3,37112	-1,70183	-0,06296	0,04825	-1,25244	-0,09579	0,08056	-1,17240
0,15135	0,39104	-2,28112	-1,32607	-0,04652	-0,00613	-0,79455	-0,03043	-0,02264	-0,93480
0,08872	0,94555	-1,15409	-0,85189	-0,04526	-0,00740	-0,00582	-0,03017	0,03262	0,00812
0,12513	1,59505	0,24375	-0,33334	0,07004	-0,05208	0,62679	0,07800	-0,02690	0,53025
0,09880	2,30409	1,72870	0,18311	0,05929	-0,01085	1,25282	0,13163	0,00450	1,14340
0,16482	2,87893	2,90255	0,64673	0,17180	-0,03166	1,86557	0,26571	0,02020	1,87244
0,12445	3,40849	3,99370	0,99764	0,14121	-0,09115	2,03763	0,20124	-0,07387	1,82771
0,08930	3,62458	4,46753	1,21332	0,13957	-0,01889	2,22018	0,24031	0,02629	2,24528
0,21891	3,70010	4,52831	1,26298	0,22806	-0,09740	1,99364	0,33687	-0,07278	1,88430
0,11135	3,51125	4,19372	1,15240	0,04083	-0,08566	1,61425	0,09398	-0,04430	1,54795
0,13174	3,09016	3,32401	0,89766	0,09873	-0,01928	1,13095	0,15187	0,02446	1,17537
0,23560	2,68042	2,38904	0,52011	0,10746	-0,06345	0,46371	0,17146	-0,06000	0,37825
0,07635	2,10570	1,20208	0,07004	-0,09026	0,02145	-0,05183	-0,08767	0,06669	0,01676
0,10008	1,58346	0,05331	-0,41565	-0,02946	-0,00843	-0,66674	-0,06356	0,00767	-0,70739
0,17643	1,05208	-0,99365	-0,88861	-0,03780	0,02043	-1,09125	-0,01070	0,02677	-1,04258
0,04740	0,62846	-1,87555	-1,31435	-0,19507	0,02311	-1,43777	-0,24276	0,04138	-1,43927
0,06229	0,31875	-2,53320	-1,65879	-0,12971	0,02055	-1,68909	-0,20086	0,01765	-1,73488
0,13737	0,06831	-3,03867	-1,89253	-0,10101	0,06166	-1,68720	-0,10443	0,06876	-1,60944
0,04401	0,04508	-3,12781	-2,00792	-0,20581	0,03345	-1,68100	-0,25088	0,03517	-1,78129
0,08031	0,05372	-3,00721	-1,98807	-0,10430	0,04774	-1,41868	-0,16489	0,06048	-1,38551
0,14508	0,27253	-2,60490	-1,84724	-0,05246	0,05017	-1,10301	-0,04654	0,04734	-1,13373
0,04773	0,62081	-1,89331	-1,60179	-0,13792	0,00396	-0,67812	-0,14143	0,01996	-0,75895
0,10813	0,98594	-1,07427	-1,27492	0,03085	-0,00089	-0,10594	0,02591	0,02763	-0,07426
0,09776	1,54227	0,08576	-0,91079	-0,00746	-0,04098	0,32528	0,01972	-0,03639	0,17172
0,07695	2,01458	1,07682	-0,53637	0,03679	-0,00817	0,93209	0,10932	0,03748	0,94550
0,19039	2,48510	2,09221	-0,20086	0,17054	-0,06664	1,23322	0,21659	-0,05842	1,11581
0,06734	2,86523	2,84076	0,06667	0,02035	-0,03562	1,49099	0,07735	-0,00341	1,40897
0,15638	3,02815	3,16117	0,23927	0,16182	-0,03855	1,62133	0,25268	0,00803	1,61615
0,17917	3,09977	3,33169	0,29445	0,12604	-0,08604	1,38240	0,19196	-0,08020	1,23570
0,06979	2,93336	2,99323	0,24155	0,01226	-0,01864	1,22943	0,04951	0,03176	1,27051
0,20964	2,71505	2,48734	0,08024	0,13350	-0,05655	0,79417	0,19841	-0,03651	0,71035
0,15404	2,34453	1,72716	-0,16010	0,01504	-0,02119	0,38659	0,06291	0,00730	0,38612
0,04138	1,92128	0,84539	-0,45307	-0,06662	0,00638	-0,08280	-0,09256	0,03602	-0,08986
0,16602	1,53070	-0,04242	-0,76630	0,03439	-0,01187	-0,52603	0,05286	-0,00389	-0,55926
0,09859	1,08836	-0,89664	-1,06459	-0,10923	0,01991	-0,83639	-0,09862	0,04600	-0,78280
0,05458	0,79286	-1,50443	-1,32294	-0,13590	0,00064	-1,18013	-0,20215	0,00657	-1,25904
0,16049	0,52612	-2,07245	-1,50674	-0,03729	0,02821	-1,21565	-0,04319	0,05136	-1,13940
0,12242	0,40771	-2,24411	-1,60824	-0,13464	0,02923	-1,33512	-0,14388	0,02215	-1,41348
0,05607	0,38375	-2,36010	-1,60791	-0,12743	0,03843	-1,19340	-0,18719	0,05659	-1,18787
0,14661	0,45602	-2,22258	-1,50844	-0,02592	0,03562	-0,96762	-0,03416	0,05184	-0,95891
0,06768	0,70880	-1,70148	-1,32230	-0,11997	0,01302	-0,73273	-0,11268	0,01363	-0,84030
0,11901	0,94273	-1,17326	-1,05706	0,00177	0,02643	-0,26548	-0,00812	0,05963	-0,21607
0,14279	1,34036	-0,36451	-0,74834	0,01631	-0,03996	0,02718	0,02089	-0,03286	-0,10610
0,07862	1,69286	0,41042	-0,41269	-0,02250	0,00064	0,49455	0,03171	0,03237	0,48655
0,17872	2,07573	1,17984	-0,08661	0,14260	-0,04800	0,83159	0,18320	-0,02519	0,77907
0,10193	2,45148	1,97497	0,19961	0,02630	-0,05694	1,08658	0,05930	-0,02750	0,97696
0,09414	2,67565	2,49115	0,42376	0,08280	-0,02464	1,32425	0,15251	0,01935	1,32595
0,23299	2,89135	2,85888	0,55661	0,20556	-0,07047	1,29568	0,28517	-0,06280	1,18168
0,08727	2,90177	2,89438	0,59385	-0,00733	-0,05030	1,22678	0,02733	-0,00572	1,19948
0,16430	2,74654	2,56938	0,53228	0,10986	-0,04340	0,94056	0,16038	-0,01034	0,88375
0,25232	2,44430	1,98781	0,38610	0,09975	-0,05502	0,52616	0,16463	-0,04454	0,49712
0,05729	2,03656	1,12565	0,18046	-0,10076	-0,00421	0,08597	-0,11538	0,03164	0,07813
0,13654	1,63586	0,18357	-0,05364	0,02453	-0,00702	-0,35928	0,01405	0,01667	-0,38650
0,20648	1,20565	-0,66703	-0,28208	-0,00872	0,03702	-0,70100	0,02952	0,05489	-0,64757
0,01951	0,94039	-1,24549	-0,47980	-0,18204	0,01979	-0,96572	-0,24108	0,04466	-1,00274
0,12492	0,77138	-1,63286	-0,61896	0,00379	0,03345	-0,98140	-0,02153	0,05537	-0,95839
0,15234	0,72677	-1,64990	-0,69256	-0,06043	0,00613	-0,95826	-0,04448	0,00828	-0,97090
0,02760	0,80938	-1,50888	-0,69644	-0,14323	0,00026	-0,82211	-0,17430	0,01911	-0,87356
0,15156	0,90990	-1,26945	-0,63155	0,03413	-0,01634	-0,56939	0,01728	0,00767	-0,55139
0,13201	1,12109	-0,79010	-0,51555	-0,05790	0,00153	-0,39026	-0,02810	0,00377	-0,46811
0,06760	1,34820	-0,35672	-0,35636	-0,05246	-0,00077	-0,04412	-0,05015	0,04004	-0,04499
0,17956	1,59654	0,21518	-0,17877	0,09886	-0,00447	0,20189	0,11152	0,01071	0,15690
0,03365	1,90247	0,79997	-0,00224	-0,06978	-0,01557	0,44133	-0,04035	0,00986	0,35672
0,12508	2,11656	1,22964	0,15571	0,10189	-0,00204	0,74714	0,15548	0,04649	0,77700
0,18284	2,36932	1,77818	0,26534	0,10151	-0,08068	0,77837	0,13601	-0,07290	0,64318
0,06469	2,45940	2,03378	0,32213	-0,02035	-0,02540	0,90087	0,02205	0,01424	0,91134
0,20917	2,50135	2,03076	0,31014	0,15132	-0,06766	0,80264	0,21375	-0,04831	0,73833
0,18258	2,41185	1,88667	0,23153	0,02326	-0,04481	0,60606	0,06291	-0,02312	0,55242
0,03440	2,18917	1,39831	0,09674	-0,05664	-0,01021	0,37597	-0,05917	0,02811	0,38032
0,22044	1,96099	0,88273	-0,08236	0,11985	-0,00983	0,03502	0,16540	-0,00633	-0,02411
0,12924	1,62891	0,27682	-0,28034	-0,08382	0,01174	-0,21555	-0,07800	0,04661	-0,17533
0,04404	1,37914	-0,31773	-0,47968	-0,08521	0,00932	-0,54259	-0,12247	0,02860	-0,61302
0,18612	1,10354	-0,89112	-0,65121	0,04387	0,00996	-0,68267	0,07323	0,02397	-0,63171
0,06841	0,92802	-1,22570	-0,78447	-0,14576	0,00000	-0,85915	-0,15599	0,01509	-0,89832
0,03885	0,83622	-1,42917	-0,86023	-0,10455	-0,00383	-0,87394	-0,15380	0,01387	-0,89974
0,20872	0,78453	-1,49612	-0,87040	0,02946	0,03996	-0,77242	0,05131	0,05428	-0,73485
0,08820	0,89206	-1,26414	-0,82051	-0,13894	0,00243	-0,71035	-0,15509	0,01047	-0,81259
0,11003	0,98422	-1,07813	-0,70582	-0,01492	0,03945	-0,41124	-0,02798	0,06925	-0,35234
0,17047	1,22068	-0,59758	-0,54816	0,00733	-0,01545	-0,25322	0,01792	-0,01339	-0,35930
0,07604	1,43404	-0,12065	-0,35424	-0,07863	0,01583	0,06624	-0,05440	0,04673	0,05621
0,16359	1,66862	0,34273	-0,14705	0,09102	-0,03140	0,31390	0,11268	-0,01205	0,29304
0,11146	1,96768	0,94117	0,05146	0,00164	-0,04251	0,51200	0,03739	-0,02397	0,40790
0,07680	2,16120	1,35518	0,22734	0,03224	-0,01787	0,81111	0,08019	0,03152	0,84494
0,20867	2,42034	1,90753	0,35026	0,15474	-0,04583	0,87204	0,21040	-0,04430	0,76334
0,09271	2,57911	2,24154	0,41227	-0,01315	-0,02911	1,01022	0,02037	0,01302	0,98611
0,13841	2,62932	2,31221	0,39787	0,09785	-0,03140	0,99505	0,15509	0,00913	0,97232
0,21318	2,61779	2,33380	0,30053	0,11441	-0,06191	0,80226	0,17275	-0,05842	0,72221
0,04180	2,47250	1,97237	0,12989	-0,04602	-0,01251	0,63450	-0,03326	0,03176	0,64048
0,17753	2,25219	1,48440	-0,10646	0,08988	-0,03651	0,29506	0,12260	-0,01838	0,24018
0,20203	1,91133	0,86849	-0,38515	-0,00683	-0,02208	-0,04172	0,03107	0,00012	-0,03378
0,05859	1,56339	0,16518	-0,68339	-0,13173	0,00357	-0,42351	-0,17159	0,02799	-0,45354
0,17685	1,23589	-0,61763	-0,97085	0,02920	0,01162	-0,71301	0,03416	0,02410	-0,71190
0,16125	0,91302	-1,22781	-1,22454	-0,09039	0,01736	-0,96193	-0,08651	0,02945	-0,95092
0,00385	0,71768	-1,68258	-1,42260	-0,18912	0,01557	-1,13133	-0,24779	0,03091	-1,17653
0,17784	0,56672	-2,00336	-1,54249	0,01239	0,02745	-1,09530	0,00322	0,04612	-1,05715
0,12445	0,56174	-1,95721	-1,58284	-0,12124	0,02055	-1,07431	-0,12376	0,01886	-1,13308
-0,01172	0,64313	-1,84052	-1,53626	-0,14412	0,01698	-0,85814	-0,18629	0,03505	-0,86957
0,12461	0,80286	-1,54021	-1,41167	0,04147	0,00613	-0,59253	0,04551	0,02057	-0,61572
0,03120	1,03206	-0,99654	-1,22533	-0,09127	0,00472	-0,34538	-0,07477	0,01132	-0,41409
0,03451	1,30211	-0,46703	-0,99179	-0,01289	0,00472	0,03502	-0,00799	0,03712	0,03287
0,15484	1,61703	0,23237	-0,73864	0,07889	-0,03064	0,28950	0,09875	-0,01716	0,19390
0,03646	1,91263	0,85568	-0,48493	-0,04930	-0,00587	0,61023	-0,00928	0,02604	0,58401
0,13927	2,20544	1,41323	-0,25692	0,12490	-0,03268	0,86774	0,17520	-0,00523	0,82097
0,14383	2,45393	1,97815	-0,07780	0,06991	-0,05719	0,98405	0,10997	-0,03128	0,88259
0,08854	2,56404	2,25839	0,03865	0,02832	-0,01455	1,07684	0,07954	0,02446	1,06385
0,23846	2,62727	2,36388	0,07714	0,17029	-0,05783	0,97634	0,23721	-0,04552	0,90090
0,12005	2,55292	2,18677	0,03909	-0,00582	-0,04902	0,82729	0,02810	-0,00937	0,78435
0,07737	2,35818	1,76807	-0,06955	0,01580	-0,02962	0,57116	0,04229	0,00511	0,55191
0,22315	2,12320	1,28211	-0,23597	0,11593	-0,03511	0,24412	0,17598	-0,03176	0,20666
0,06268	1,82255	0,65839	-0,43710	-0,10682	-0,00791	-0,08445	-0,11629	0,02276	-0,10649
0,09911	1,50065	-0,08484	-0,64867	-0,01214	0,00779	-0,38963	-0,01740	0,03724	-0,39192
0,20906	1,19654	-0,66536	-0,84789	0,01783	0,00638	-0,67685	0,04486	0,00815	-0,67722
0,03370	0,97096	-1,15779	-1,01219	-0,17661	0,02464	-0,86914	-0,21323	0,04539	-0,89832
0,08904	0,77930	-1,59563	-1,11929	-0,04412	0,00740	-0,95308	-0,07452	0,02519	-0,95388
0,17128	0,67219	-1,76167	-1,15865	-0,02566	0,02413	-0,98797	-0,00490	0,01886	-0,99720
0,02273	0,68786	-1,77870	-1,12276	-0,16725	-0,00128	-0,88608	-0,20099	0,02337	-0,92488
0,11839	0,74927	-1,60065	-1,00975	0,00051	0,01557	-0,69379	-0,00954	0,03322	-0,69669
0,15344	0,95193	-1,14688	-0,83187	-0,02667	0,00651	-0,45587	-0,01199	0,01144	-0,50356
0,06573	1,23539	-0,59060	-0,60171	-0,07674	0,01379	-0,09519	-0,07129	0,04783	-0,12441
0,17068	1,54055	0,08917	-0,34267	0,09178	-0,02438	0,24323	0,11268	-0,00742	0,20485
0,10729	1,89185	0,83448	-0,08074	-0,00088	-0,02234	0,53311	0,04087	-0,00645	0,44529
0,07961	2,16279	1,31979	0,16287	0,06056	-0,03421	0,82135	0,10430	0,00487	0,79402
0,18029	2,34797	1,76474	0,36210	0,13641	-0,05336	0,87305	0,18745	-0,03907	0,78899
0,03750	2,44706	1,91971	0,50536	-0,02389	-0,03715	0,90023	0,00657	-0,00475	0,84881
0,14185	2,42914	1,84599	0,58537	0,12162	-0,02336	0,85194	0,18255	0,01546	0,84237
0,16875	2,37151	1,77674	0,59847	0,05929	-0,05502	0,64600	0,09592	-0,03091	0,56661
0,05563	2,22862	1,53891	0,55520	-0,03755	0,01111	0,53147	-0,02785	0,05452	0,55023
0,22828	2,13484	1,29984	0,45907	0,14045	-0,03587	0,34677	0,19132	-0,01838	0,30490
0,16740	2,00138	1,03867	0,32317	-0,01530	-0,03077	0,17408	0,01856	-0,00389	0,14581
0,05688	1,83034	0,66221	0,16023	-0,06346	-0,02911	-0,01795	-0,07980	0,00183	-0,03893
0,21544	1,64690	0,25643	-0,01672	0,09127	-0,02489	-0,21719	0,13330	-0,01777	-0,23347
0,09307	1,44930	-0,13703	-0,19286	-0,11264	-0,01149	-0,40871	-0,10881	0,00986	-0,43124
0,04526	1,26943	-0,55932	-0,35134	-0,06890	0,02821	-0,54120	-0,09927	0,05306	-0,54869
0,18734	1,13052	-0,83820	-0,47958	0,03944	0,02528	-0,63210	0,05776	0,02750	-0,63648
0,05734	1,06096	-0,95247	-0,56897	-0,14867	0,02643	-0,67533	-0,15612	0,04113	-0,71654
0,09497	1,03813	-1,01063	-0,61055	-0,03514	0,02119	-0,56977	-0,06175	0,04722	-0,55126
0,18349	1,12135	-0,81906	-0,60943	0,01694	-0,01545	-0,50252	0,03610	-0,01485	-0,56467
0,04719	1,23604	-0,60620	-0,56678	-0,11251	-0,01494	-0,30050	-0,10713	0,00937	-0,31972
0,12346	1,36656	-0,33388	-0,49250	0,03755	-0,02043	-0,14260	0,04293	-0,00572	-0,18049
0,14206	1,52490	0,01354	-0,39876	0,01188	-0,02260	0,00759	0,03197	-0,00974	-0,04963
0,06581	1,65781	0,32844	-0,29515	-0,06549	0,00332	0,18381	-0,04835	0,03432	0,15445
0,18940	1,79109	0,61466	-0,19532	0,09494	-0,01698	0,26548	0,12054	-0,00694	0,21130
0,10440	1,89661	0,78685	-0,10819	-0,02276	-0,00536	0,36131	0,00129	0,02276	0,32501
0,06479	1,96357	0,89646	-0,04210	-0,00379	-0,01506	0,39013	0,02050	0,01375	0,34048
0,20411	1,97573	0,97331	-0,00131	0,11504	-0,02579	0,39140	0,16399	-0,01010	0,37090
0,08172	1,99078	0,99773	0,00979	-0,05689	-0,03013	0,31997	-0,04744	-0,00499	0,24959
0,11328	1,94172	0,85508	-0,00408	0,03413	-0,02553	0,30669	0,06214	0,01436	0,30992
0,21464	1,87182	0,78612	-0,04438	0,06359	-0,03651	0,16030	0,10430	-0,02130	0,10120
0,06247	1,78831	0,61229	-0,10226	-0,08255	-0,00179	0,06852	-0,08947	0,02969	0,04216
0,16419	1,68370	0,32018	-0,17065	0,06195	-0,00383	-0,00177	0,07838	0,02787	-0,00258
0,15633	1,59453	0,17453	-0,24513	-0,02073	-0,01698	-0,17180	0,00116	-0,00487	-0,24611
0,06026	1,46987	-0,09823	-0,31155	-0,07029	0,02119	-0,20670	-0,08715	0,05671	-0,18848
0,16008	1,40180	-0,27896	-0,36700	0,03995	-0,02157	-0,30960	0,05002	-0,00584	-0,35530
0,10487	1,33781	-0,34820	-0,40285	-0,07155	-0,00434	-0,32098	-0,05144	0,01570	-0,33416
0,09380	1,34396	-0,35336	-0,41638	-0,04741	-0,00370	-0,25600	-0,06562	0,03322	-0,26145
0,21443	1,41643	-0,15443	-0,41044	0,05739	-0,00626	-0,18217	0,07774	0,00511	-0,21684
0,09922	1,53044	0,09049	-0,38912	-0,07509	0,00319	-0,04602	-0,06085	0,02836	-0,07774
0,12339	1,66914	0,29208	-0,36043	0,02731	-0,00626	0,12629	0,03584	0,03067	0,10804
0,17388	1,79104	0,63326	-0,33713	0,03818	-0,03830	0,20720	0,06910	-0,02312	0,15767
0,07518	1,92023	0,86411	-0,32714	-0,04475	-0,01506	0,30707	-0,02192	0,01083	0,25797
0,15820	1,96081	0,94432	-0,33783	0,08445	-0,03000	0,36927	0,11087	-0,00012	0,35917
0,12747	1,97516	1,00768	-0,37718	-0,00619	-0,03906	0,27977	0,02346	-0,02118	0,20460
0,06896	1,93201	0,87924	-0,43991	-0,03312	0,00000	0,25233	-0,02462	0,03468	0,24895
0,18763	1,84891	0,67034	-0,52641	0,09545	-0,00957	0,11883	0,12944	0,00377	0,08831
0,07086	1,73974	0,45667	-0,62928	-0,08053	-0,02477	-0,02642	-0,07052	0,00000	-0,06884
0,06273	1,60380	0,15602	-0,73665	-0,03654	0,01315	-0,12339	-0,04164	0,04600	-0,11732
0,21190	1,49130	-0,06216	-0,84232	0,06877	-0,00983	-0,26447	0,09102	-0,00341	-0,30064
0,07375	1,38458	-0,25068	-0,93554	-0,12301	0,00804	-0,32932	-0,12235	0,03444	-0,34164
0,08122	1,31813	-0,45549	-1,00770	-0,02579	-0,00485	-0,37471	-0,04474	0,01619	-0,40210
0,19505	1,24672	-0,54362	-1,05315	0,03666	0,00651	-0,40593	0,06743	0,01363	-0,41654
0,03693	1,21982	-0,59581	-1,06912	-0,13160	-0,01251	-0,40505	-0,14594	0,01107	-0,44181
0,10490	1,22128	-0,63268	-1,05043	0,00531	0,00064	-0,35221	-0,00206	0,02142	-0,36755
0,15677	1,24737	-0,54823	-0,99989	0,00417	-0,01162	-0,29911	0,02591	0,00073	-0,33004
0,04466	1,33195	-0,37992	-0,92027	-0,09861	0,01660	-0,18495	-0,09901	0,04199	-0,22110
0,16883	1,44635	-0,14305	-0,81688	0,06397	0,00204	-0,02339	0,06846	0,02397	-0,03881
0,14154	1,59760	0,20797	-0,70201	-0,01846	-0,00472	0,09456	0,01470	0,00888	0,03030
0,06698	1,74440	0,46500	-0,58305	-0,02263	-0,00791	0,27307	-0,01470	0,02312	0,24521
0,17031	1,86880	0,73448	-0,47410	0,09949	-0,02119	0,36902	0,13073	-0,00608	0,33274
0,09747	1,99253	1,01427	-0,38563	-0,03540	-0,03983	0,42338	-0,01018	-0,01862	0,34770
0,13594	2,03378	1,08159	-0,32207	0,06169	-0,00485	0,51137	0,09875	0,03335	0,51994
